,msg_id,date,name,rating,msg_review
0,chzdsuhnmg9ns0vjq0fnsununzy2d0freae,7 jam lalu,kopet kepet,5 bintang,kemarin sudah kesana  tempat nya benar indah pokok nya recommended deh buat liburan bareng keluarga
1,chzdsuhnmg9ns0vjq0fnsunuddhhcu1reae,16 jam lalu,nur auliya,5 bintang,ekowisata yang harus bgt dikunjungi karena bener bener sejuk dan asri syekaliii ditambah masuknya murah meriah
2,chzdsuhnmg9ns0vjq0fnsunuddvyuwrbeae,16 jam lalu,keceriaan ishanaishan,5 bintang,rekomendasi wisata alam  masih alami  air sungainya bening dan jernih  udara juga masih sangat fresh
3,chzdsuhnmg9ns0vjq0fnsunudc1xq2zbeae,16 jam lalu,dwita yulia,5 bintang,suasananya enak adem  asri banyak pepohonan cocok bgt buat liburan keluarga area parkir juga luas fasilitas lengkap oke bgt pokoknya tempatnya recommended bgt
4,chzdsuhnmg9ns0vjq0fnsunudf9ucexreae,16 jam lalu,yara utari,5 bintang,masyaallah sekali tempat dan suasana nya adem tentram  di tambah pemandangan alam yg sangat cantik dan air nya yg sangat jernih  mantap betul tempat nya buat mengisi liburan bersama pasangan ataupun keluarga
5,chzdsuhnmg9ns0vjq0fnsunuddrtr1lneae,17 jam lalu,ta taaa,5 bintang,tempat wisata yg wajib di datengin    parkiran luas  bersih dan asri  good job buat pengelolanya
6,chddsuhnmg9ns0vjq0fnsunuddrtnhbrrrab,17 jam lalu,audra lilipaly,5 bintang,salah satu wisata air yang rekomen banget    fasilitasnya bague
7,chzdsuhnmg9ns0vjq0fnsunudf9pouvbeae,17 jam lalu,lutfia damayanti,5 bintang,tempatnya bagus  cocok buat healing  menenangkan pikiran kita
8,chddsuhnmg9ns0vjq0fnsunudf9qtv9brrab,17 jam lalu,regita alif ergiyanti,5 bintang,tempat asri dan cantik
9,chzdsuhnmg9ns0vjq0fnsunuddlqufr3eae,17 jam lalu,ria atia dewi,5 bintang,bagus  ada tempat ibadahnya jadi enak
10,chddsuhnmg9ns0vjq0fnsunuddlqogt3rrab,17 jam lalu,taufik rinaldi,5 bintang,sangat menarik
11,chddsuhnmg9ns0vjq0fnsunux1pmenbbrrab,2 hari lalu,ekaa fitri,5 bintang,tempatnya bagus  harga tiket masuknya juga gak yang mahal  banget  pelayanannya juga oke banget
12,chzdsuhnmg9ns0vjq0fnsunux2z6m0x3eae,2 hari lalu,cacik gunarti,5 bintang,tempatnya alami  beneran terawat dan terkelola dengan baik  setiap kolam ada yg njagain  bersih  toilet dimana mana jg bersih
13,chddsuhnmg9ns0vjq0fnsunubmjlv3r3rrab,2 hari lalu,achmad chudori,5 bintang,aman  nyaman  bersih  ramah  airnya mengalir  bersih segar  makan minuman masih murah wajar
14,chzdsuhnmg9ns0vjq0fnsunubmnybwrbeae,2 hari lalu,lalu ilham wirawan,5 bintang,saya masuk melalui gate bawah  langsung dapet kolam yg kedalaman m  tempatnya bagus  airnya juga seger  yg lupa bawa baju juga aman karena yg jualan juga lengkap  buat yang ngga bisa renang juga aman  karena ada persewaan ban dan pelampung  harga makanan juga masih standar  overall jauh jauh ke sini worth it
